Project Name,Assignee,Deliverable Checklist,Developer/Sales,KYC,Notes,Onboarding Status,Project Status,Release Date,Services,Units
Jericho Park - Essence Living ,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $117,425.00
Province: British Columbia
# of Homes: 385
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-04-23
Development Proposal Stage: 
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Bry Christopherson 
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? New to allocations (sales grid), New to worksheets

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,17-May-24,,385
Rennie - Woodland Block,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 72
Deal Owner: Malinka Ruminski
Initial Launch Date: 2023-04-20
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: Roell
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: high rise
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? n/a
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: salesforce
API/Reporting Requirements: salesforce
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? n/a
Why Buy/Challenges we are solving: n/a
What is client's goal from Avesdo? n/a
Why Avesdo? n/a
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,15-May-23,,72
Essence Living - Eastin Townhomes,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $6,100.00
Province: British Columbia
# of Homes: 20
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-04-02
Development Proposal Stage: 
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Bry Christopherson 
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? New to allocations (sales grid), New to worksheets

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,08-Apr-24,,20
Briland Club (Bahamas),Jason Hudym,,Sterling Global Financial,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $26,520.00
Province: 
# of Homes: 65
Deal Owner: Sandor Segal
Account Manager: Malinka
Initial Launch Date: 2024-08-01
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact: Iona

Set-Up Details
Credit Cards? TBD
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? Yes
Setting up Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: HubSpot
API/Reporting Requirements: TBD - likely Virtual Lineup

Notes
Other Special Customer-Related Notes: Deal is in the Bahamas and client is high-value.",,Onboarding Email Sent,Not started,,,65
The Brook | Genesis Homes,,,,,,Released,Released,14-Aug-20,,
Key Marketing Inc. (Kenstone Properties) - Carven,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $33,600
Initial Launch Date: 2022-01-15
Province: British Columbia


KYC Survey:
Deal Owner: Jake Shatz
# of Homes: 64
Initial Launch Date: 2022-01-15
Onboarding Contact: Nic Campbell
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? Avesdo
Major problems we're solving? N/A
What does success mean for the client? N/A
Additional comments: ",,Released,Released,24-May-22,,64
Cadence Pond - The Lionel,Rashi Gupta,https://docs.google.com/spreadsheets/d/1QSvbko2ZXW0kE7Dh-JHadsnesjjIJYB5_KjT5gn-qCo/edit?usp=sharing,Stone Creek Resorts,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $28,350.00
Province: Alberta
# of Homes: 70
Deal Owner: Sandor Segal
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-03-10
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Tyler Baptist
Onboarding Contact Email: 

Set-Up Details
Credit Cards? Yes
Avesdo Deposits? Yes
Project Set-Up: 
Setting up Leads? TBD
Setting up Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Hubspot
API/Reporting Requirements: Hubspot

Notes
Other Special Customer-Related Notes: ",,Awaiting Docs/Info,On Schedule,30-Jun-26,"API, Credit Card, EFT, Selections / Worksheets",70
Vesa at Little Mountain,Elton Paul,,Holborn,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 87
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-08-11
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Sunny Hahm 
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
EFT Deposits? TBD
Leads? No
Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? 
Sales Grid? Yes
Realtor Portal? Yes
CRM/Lead Ingestion: Blackline (I believe)
API/Reporting Requirements: Yes

Notes
Other Special Customer-Related Notes: Dedicated launch support is included for the first launch only. ",,Released,Released,05-Nov-25,,87
Mission Group | Aqua,,,,"
Project Revenue: $15,246
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-05-21
Onboarding Contact: Carlee Baird
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? Avesdo
Major problems we're solving? Avesdo is part of Mission Groups process, they rely on our speed to write contracts and reporting that follows
What does success mean for the client? This project will likely sell out quickly. It has been marketed for over a year with LOTS of interest 
Additional comments: ",,Released,Released,06-Jul-21,,154
Montana Steele - Dylan - Demo Environment,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: 
Deal Value: $0
Initial Launch Date: 2021-08-04


KYC Survey:
Deal Owner: Jonathan Tice
Initial Launch Date: 2021-08-04
Onboarding Contact: Lino Hilario
First time using Avesdo? No
Competitors, CRMs, other software being used? Acrobat - Montana Steele's 3D selection and worksheet tool
Current process outside Avesdo? They currently do not have a sales and contracting back end 
Major problems we're solving? A single seamless integrated experience
What does success mean for the client? Success is a seamless integration flow along between the two environments so that we can create video assets of the flow and have a live environment available for demonstration
Additional comments: We will set up the credit card flow using our demo account with Stripe",,Released,Released,07-Sep-21,,242
Rennie - Walker House,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 264
Deal Owner: Malinka Ruminski
Initial Launch Date: 2023-02-21
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: Roell
First time using Avesdo? Yes
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? Brand new to Avesdo

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: condo
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? n/a
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: salesforce
API/Reporting Requirements: yes
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? salesforce
Why Buy/Challenges we are solving: contracting
What is client's goal from Avesdo? contracts- through api connect to salesforce
Why Avesdo? contracts
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,06-Mar-23,,264
Silver 3 (Sun Tower Building 3),,,Belford Properties,,,Not started,Not started,,,254
Abstract Developments - Oak & Stone,Jason Hudym,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $30,450
Initial Launch Date: 2022-08-31
Province: British Columbia


KYC Survey:
Deal Owner: Sammy Wong
# of Homes: 83
Initial Launch Date: 2022-08-31
Onboarding Contact: Rebecca Miller
First time using Avesdo? Yes
Competitors, CRMs, other software being used? Lasso
Current process outside Avesdo? Paper
Major problems we're solving? Error minimization
What does success mean for the client? avoid costly mistakes
Additional comments: Launch date is late summer/september",,Released,Released,08-Oct-23,,83
Voyce | Forefield Development Group,,,,,,Released,Released,26-Aug-20,,
Bertram | Mission Group,,,,,,Released,Released,11-Sep-20,,
Coromandel Properties | Oak + 52,,,,"
Project Revenue: $23,000
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-02-19
Onboarding Contact: Allen Wang / Ashley Macintosh 
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? Avesdo
Major problems we're solving? contracts, reporting, ability to offer multiple ways of transacting 
What does success mean for the client? Their success is determined on their target for sales - expecting 12-15 deals in the first 30 days 
Additional comments: ",,Released,Released,01-Apr-21,,23
Holden Residences,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: 
Deal Value: $29,150
Initial Launch Date: 2021-09-30


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 53
Initial Launch Date: 2021-09-30
Onboarding Contact: Amy Rebedos
First time using Avesdo? No
Competitors, CRMs, other software being used? None
Current process outside Avesdo? Uses Avesdo
Major problems we're solving? N/A
What does success mean for the client? Client is looking for a quick sellout by end of October.
Additional comments: ",,Released,Released,15-Oct-21,,53
Latimer Village Phase 3 | Vesta Properties ,,,,,,Released,Released,08-Feb-20,,
Whalley Station 2,,,Tien Sher,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $93,750
Province: British Columbia
# of Homes: 375
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2027-06-18
Sales/Marketing Company: Key Marketing

Contact Details
Onboarding Contact: Waseem Baluch

Set-Up Details
Credit Cards? No
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Not sure
API/Reporting Requirements: None that I am aware of

Notes
Other Special Customer-Related Notes: ",,Not started,Not started,18-Jun-27,,375
Rennie - Wren,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $780,000.00
Province: British Columbia
# of Homes: 26
Deal Owner: Malinka Ruminski
Account Manager: Malinka
Initial Launch Date: 2024-10-19
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: katerina or jlin@rennie.com
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? No
CRM/Lead Ingestion: salesforce
API/Reporting Requirements: salesforce

Notes
Other Special Customer-Related Notes: ",,Released,Released,24-Oct-24,,26
SOCO Tower 1 | Anthem Properties,,,,,,Released,Released,02-Sep-20,,
Appia - Solo Phase 4,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: Yes
Deal Value: $79,500
Initial Launch Date: 2021-11-04
Province: British Columbia


KYC Survey:
Deal Owner: Sammy Wong
# of Homes: 304
Initial Launch Date: 2021-11-04
Onboarding Contact: Claudia Chung at Magnum
First time using Avesdo? No
Competitors, CRMs, other software being used? Lasso CRM
Current process outside Avesdo? Avesdo for Solo 3 Cirrus
Major problems we're solving? ??
What does success mean for the client? ??
Additional comments: ",,Released,Released,15-Feb-22,,304
Rennie - Highline,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 332
Deal Owner: Sandor Segal
Account Manager: Malinka
Initial Launch Date: 2023-06-26
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: KAterina Wong
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: condo
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? n/a
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: api integration
API/Reporting Requirements: api integration
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? api integration
Why Buy/Challenges we are solving: api integration
What is client's goal from Avesdo? api integration
Why Avesdo? api integration
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,16-Aug-23,,332
Innovation District Building 3,Rashi Gupta,,Tien Sher/Stryke,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $30,000.00
Province: British Columbia
# of Homes: 120
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2026-08-21
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Waseem Baluch

Set-Up Details
Credit Cards? No
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: ?
API/Reporting Requirements: None that I know of

Notes
Other Special Customer-Related Notes: ",,Not started,Not started,21-Aug-26,,120
